randTEC,randTS,Tempo Entre Chegadas,Tempo de Serviço,Chegada,Começo do Serviço,Fim do Serviço,Tempo de Fila,Tempo no Sistema,Tempo Inativo do Servidor
0.84704,0.193568,0.33201471988680115,13.137011256461067,0.33201471988680115,0.33201471988680115,13.469025976347869,0.0,13.137011256461067,0.33201471988680115
0.301559,0.294528,2.3975791874676022,9.779049632074328,2.7295939073544035,13.469025976347869,23.248075608422198,10.739432068993466,20.518481701067795,0.0
0.139174,0.102403,3.944060660273741,18.230714159446997,6.6736545676281445,23.248075608422198,41.478789767869195,16.574421040794054,34.805135200241054,0.0
0.082377,0.514118,4.992898014486551,5.322419743121215,11.666552582114695,41.478789767869195,46.80120951099041,29.812237185754498,35.134656928875714,0.0
0.778458,0.549892,0.5008804781341867,4.7842670693907765,12.167433060248882,46.80120951099041,51.58547658038119,34.63377645074153,39.41804352013231,0.0
0.027154,0.371956,7.212461827608095,7.9118376901957035,19.379894887856977,51.58547658038119,59.497314270576894,32.20558169252421,40.117419382719916,0.0
0.472143,0.307921,1.5009467463596975,9.423296179321131,20.880841634216676,59.497314270576894,68.92061044989802,38.616472636360214,48.03976881568134,0.0
0.229882,0.629797,2.940378290378077,3.6988618699481246,23.821219924594754,68.92061044989802,72.61947231984614,45.099390525303264,48.79825239525138,0.0
0.99845,0.941759,0.0031024049854730226,0.4800470062340081,23.824322329580227,72.61947231984614,73.09951932608014,48.79514999026591,49.275196996499915,0.0
0.146715,0.833117,3.838526699143142,1.4606495239669395,27.662849028723368,73.09951932608014,74.56016885004708,45.43667029735677,46.897319821323705,0.0
0.205155,0.041278,3.167978975961026,25.499404868759626,30.830828004684395,74.56016885004708,100.0595737188067,43.729340845362685,69.22874571412231,0.0
0.754916,0.880351,0.5622975884018386,1.0194766991878061,31.393125593086236,100.0595737188067,101.07905041799451,68.66644812572046,69.68592482490827,0.0
0.055139,0.727725,5.795796018411273,2.542656395221314,37.188921611497506,101.07905041799451,103.62170681321582,63.890128806497,66.43278520171832,0.0
0.876478,0.958906,0.26368734952943734,0.3356978213792315,37.45260896102694,103.62170681321582,103.95740463459505,66.16909785218888,66.50479567356811,0.0
0.334879,0.317644,2.187972012866393,9.174592161295857,39.640580973893336,103.95740463459505,113.13199679589091,64.31682366070171,73.49141582199758,0.0
0.636826,0.133807,0.902517632279444,16.09085452612486,40.54309860617278,113.13199679589091,129.22285132201577,72.58889818971814,88.679752715843,0.0
0.899482,0.595142,0.21187247381812344,4.151641971584057,40.7549710799909,129.22285132201577,133.37449329359984,88.46788024202488,92.61952221360895,0.0
0.55029,0.720523,1.1946197339755362,2.6222235342069453,41.94959081396644,133.37449329359984,135.99671682780678,91.4249024796334,94.04712601384034,0.0
0.829123,0.07866,0.3747735266416858,20.34096409582779,42.32436434060812,135.99671682780678,156.33768092363457,93.67235248719865,114.01331658302644,0.0
0.036196,0.352636,6.637613326986501,8.338551324277429,48.961977667594624,156.33768092363457,164.676232247912,107.37570325603994,115.71425458031737,0.0
0.751598,0.106709,0.571107344872511,17.90119820472421,49.53308501246713,164.676232247912,182.5774304526362,115.14314723544487,133.04434544016908,0.0
0.450161,0.849768,1.5962999648544027,1.3023352634357408,51.129384977321536,182.5774304526362,183.87976571607194,131.44804547531467,132.7503807387504,0.0
0.042592,0.837393,6.312177673538872,1.4196942771128152,57.441562650860405,183.87976571607194,185.29945999318477,126.43820306521154,127.85789734232436,0.0
0.063411,0.740768,5.516235862022656,2.400542345019532,62.95779851288306,185.29945999318477,187.7000023382043,122.34166148030171,124.74220382532125,0.0
0.090153,0.209663,4.812494104032581,12.49803039343229,67.77029261691564,187.7000023382043,200.1980327316366,119.92970972128867,132.42774011472096,0.0
0.813172,0.97767,0.4136252593896276,0.1806647136020649,68.18391787630527,200.1980327316366,200.37869744523866,132.01411485533134,132.19477956893337,0.0
0.701794,0.052121,0.7082307306277102,23.633498723334736,68.89214860693298,200.37869744523866,224.01219616857338,131.48654883830568,155.1200475616404,0.0
0.004963,0.419219,10.611489764753667,6.954894580599556,79.50363837168665,224.01219616857338,230.96709074917294,144.50855779688675,151.4634523774863,0.0
0.820918,0.160682,0.39466410543037683,14.626624179749555,79.89830247711703,230.96709074917294,245.5937149289225,151.0687882720559,165.69541245180548,0.0
0.589837,0.39856,1.0558181028774545,7.359177819746134,80.95412057999448,245.5937149289225,252.95289274866863,164.63959434892803,171.99877216867415,0.0
0.599764,0.238541,1.0224380689503398,11.465712605370983,81.97655864894482,252.95289274866866,264.41860535403964,170.97633409972383,182.4420467050948,2.842170943040401E-14
0.154544,0.414154,3.734552867090394,7.05213914918523,85.71111151603522,264.41860535403964,271.47074450322486,178.70749383800444,185.75963298718966,0.0
0.688295,0.16642,0.747075507757005,14.345924524078825,86.45818702379222,271.47074450322486,285.8166690273037,185.01255747943264,199.35848200351148,0.0
0.022783,0.911291,7.563481270330448,0.7431440282411261,94.02166829412266,285.8166690273037,286.55981305554485,191.79500073318104,192.5381447614222,0.0
0.068219,0.560991,5.3700643211140076,4.624403330951009,99.39173261523666,286.55981305554485,291.18421638649585,187.1680804403082,191.79248377125919,0.0
0.579309,0.443741,1.0918385300170537,6.500113760706629,100.48357114525372,291.18421638649585,297.6843301472025,190.7006452412421,197.20075900194877,0.0
0.9499,0.966496,0.10279712617200065,0.2726249518952764,100.58636827142573,297.6843301472025,297.9569550990978,197.09796187577678,197.37058682767207,0.0
0.897044,0.62042,0.21730073145898396,3.818868887464664,100.80366900288472,297.9569550990978,301.77582398656244,197.1532860962131,200.97215498367774,0.0
0.4066,0.724331,1.7998507555757814,2.580054470015792,102.6035197584605,301.77582398656244,304.35587845657824,199.17230422810195,201.75235869811775,0.0
0.822942,0.190206,0.38973910932906153,13.27718066901663,102.99325886778955,304.35587845657824,317.63305912559485,201.36261958878868,214.6398002578053,0.0
0.784951,0.675783,0.4842679670602548,3.1350660831180863,103.4775268348498,317.63305912559485,320.76812520871295,214.15553229074504,217.29059837386313,0.0
0.892375,0.152843,0.22773766231902481,15.02675222581228,103.70526449716883,320.76812520871295,335.79487743452523,217.06286071154412,232.0896129373564,0.0
0.834249,0.228132,0.36244672006564493,11.822646961477178,104.06771121723447,335.79487743452523,347.6175243960024,231.72716621729074,243.54981317876792,0.0
0.209121,0.696782,3.129684494348554,2.8902614892326737,107.19739571158303,347.6175243960024,350.5077858852351,240.42012868441938,243.31039017365205,0.0
0.815907,0.954342,0.40690980220281253,0.37386544968162133,107.60430551378585,350.5077858852351,350.8816513349167,242.90348037144923,243.27734582113084,0.0
0.618953,0.743809,0.9594518761957924,2.3677679802998646,108.56375738998163,350.8816513349167,353.2494193152165,242.31789394493507,244.6856619252349,0.0
0.190209,0.840612,3.3192636227567,1.3890006479642194,111.88302101273833,353.2494193152165,354.63841996318075,241.36639830247822,242.75539895044244,0.0
0.172533,0.757427,3.51433351291848,2.2226249270354272,115.39735452565681,354.63841996318075,356.8610448902162,239.24106543752396,241.4636903645594,0.0
0.072581,0.874842,5.246104198783758,1.0696958428646184,120.64345872444056,356.8610448902162,357.9307407330808,236.21758616577563,237.28728200864026,0.0
0.465865,0.790432,1.527718772796667,1.8814051803043883,122.17117749723722,357.9307407330808,359.8121459133852,235.7595632358436,237.64096841614798,0.0
0.782648,0.971946,0.4901444741437127,0.22764025296416474,122.66132197138094,359.8121459133852,360.0397861663494,237.15082394200428,237.37846419496847,0.0
0.490218,0.085728,1.4258101777120689,19.65260628495951,124.08713214909301,360.0397861663494,379.69239245130893,235.9526540172564,255.60526030221592,0.0
0.833047,0.01575,0.3653304316759201,33.20731930968396,124.45246258076892,379.69239245130893,412.8997117609929,255.23992987054,288.44724918022393,0.0
0.717462,0.391681,0.6640705888467071,7.498460367975316,125.11653316961564,412.8997117609929,420.3981721289682,287.78317859137724,295.28163895935256,0.0
0.985202,0.287001,0.029817165386307475,9.98615663126423,125.14635033500194,420.3981721289682,430.38432876023245,295.25182179396626,305.2379784252305,0.0
0.624342,0.317973,0.9421139676578665,9.166310443736217,126.0884643026598,430.38432876023245,439.5506392039687,304.29586445757263,313.46217490130886,0.0
0.172425,0.942899,3.5155858393295643,0.4703688565513698,129.60405014198938,439.5506392039687,440.02100806052005,309.9465890619793,310.41695791853067,0.0
0.299476,0.292102,2.411441996386849,9.845217781133332,132.01549213837623,440.02100806052,449.8662258416533,308.0055159221438,317.8507337032771,0.0
